race number,Year,grand_prix,team,driver_number,constructor,car,engine_type,tyre,grid_position,race_position,event
229,2018,Abu Dhabi,Mercedes AMG Petronas Motorsport,44,Mercedes,F1 W09,Mercedes V6 t h,Pirelli,1,1,
230,2019,Australia,Mercedes AMG Petronas Motorsport,44,Mercedes,F1 W10,Mercedes V6 t h,Pirelli,1,2,
231,2019,Bahrain,Mercedes AMG Petronas Motorsport,44,Mercedes,F1 W10,Mercedes V6 t h,Pirelli,3,1,
232,2019,China,Mercedes AMG Petronas Motorsport,44,Mercedes,F1 W10,Mercedes V6 t h,Pirelli,2,1,
233,2019,Azerbaijan,Mercedes AMG Petronas Motorsport,44,Mercedes,F1 W10,Mercedes V6 t h,Pirelli,2,2,
234,2019,Spain,Mercedes AMG Petronas Motorsport,44,Mercedes,F1 W10,Mercedes V6 t h,Pirelli,2,1,
235,2019,Monaco,Mercedes AMG Petronas Motorsport,44,Mercedes,F1 W10,Mercedes V6 t h,Pirelli,1,1,
236,2019,Canada,Mercedes AMG Petronas Motorsport,44,Mercedes,F1 W10,Mercedes V6 t h,Pirelli,2,1,
237,2019,France,Mercedes AMG Petronas Motorsport,44,Mercedes,F1 W10,Mercedes V6 t h,Pirelli,1,1,
238,2019,Austria,Mercedes AMG Petronas Motorsport,44,Mercedes,F1 W10,Mercedes V6 t h,Pirelli,4,5,
239,2019,Britain,Mercedes AMG Petronas Motorsport,44,Mercedes,F1 W10,Mercedes V6 t h,Pirelli,2,1,
240,2019,Germany,Mercedes AMG Petronas Motorsport,44,Mercedes,F1 W10,Mercedes V6 t h,Pirelli,1,9,
241,2019,Hungary,Mercedes AMG Petronas Motorsport,44,Mercedes,F1 W10,Mercedes V6 t h,Pirelli,3,1,
242,2019,Belgium,Mercedes AMG Petronas Motorsport,44,Mercedes,F1 W10,Mercedes V6 t h,Pirelli,3,2,
243,2019,Italy,Mercedes AMG Petronas Motorsport,44,Mercedes,F1 W10,Mercedes V6 t h,Pirelli,2,3,
244,2019,Singapore,Mercedes AMG Petronas Motorsport,44,Mercedes,F1 W10,Mercedes V6 t h,Pirelli,2,4,
245,2019,Russia,Mercedes AMG Petronas Motorsport,44,Mercedes,F1 W10,Mercedes V6 t h,Pirelli,2,1,
246,2019,Japan,Mercedes AMG Petronas Motorsport,44,Mercedes,F1 W10,Mercedes V6 t h,Pirelli,4,3,
247,2019,Mexico,Mercedes AMG Petronas Motorsport,44,Mercedes,F1 W10,Mercedes V6 t h,Pirelli,3,1,
248,2019,USA,Mercedes AMG Petronas Motorsport,44,Mercedes,F1 W10,Mercedes V6 t h,Pirelli,5,2,
249,2019,Brazil,Mercedes AMG Petronas Motorsport,44,Mercedes,F1 W10,Mercedes V6 t h,Pirelli,3,7,5s penalty
250,2019,Abu Dhabi,Mercedes AMG Petronas Motorsport,44,Mercedes,F1 W10,Mercedes V6 t h,Pirelli,1,1,
251,2020,Austria,Mercedes AMG Petronas F1 Team,44,Mercedes,F1 W11,Mercedes V6 t h,Pirelli,5,4,5s penalty
252,2020,Styria,Mercedes AMG Petronas F1 Team,44,Mercedes,F1 W11,Mercedes V6 t h,Pirelli,1,1,
253,2020,Hungary,Mercedes AMG Petronas F1 Team,44,Mercedes,F1 W11,Mercedes V6 t h,Pirelli,1,1,
254,2020,Britain,Mercedes AMG Petronas F1 Team,44,Mercedes,F1 W11,Mercedes V6 t h,Pirelli,1,1,
255,2020,70th Anniversary,Mercedes AMG Petronas F1 Team,44,Mercedes,F1 W11,Mercedes V6 t h,Pirelli,2,2,
256,2020,Spain,Mercedes AMG Petronas F1 Team,44,Mercedes,F1 W11,Mercedes V6 t h,Pirelli,1,1,
257,2020,Belgium,Mercedes AMG Petronas F1 Team,44,Mercedes,F1 W11,Mercedes V6 t h,Pirelli,1,1,
258,2020,Italy,Mercedes AMG Petronas F1 Team,44,Mercedes,F1 W11,Mercedes V6 t h,Pirelli,1,7,
259,2020,Tuscany,Mercedes AMG Petronas F1 Team,44,Mercedes,F1 W11,Mercedes V6 t h,Pirelli,1,1,
260,2020,Russia,Mercedes AMG Petronas F1 Team,44,Mercedes,F1 W11,Mercedes V6 t h,Pirelli,1,3,
261,2020,Eifel,Mercedes AMG Petronas F1 Team,44,Mercedes,F1 W11,Mercedes V6 t h,Pirelli,2,1,
262,2020,Portugal,Mercedes AMG Petronas F1 Team,44,Mercedes,F1 W11,Mercedes V6 t h,Pirelli,1,1,
263,2020,Emilia-Romagna,Mercedes AMG Petronas F1 Team,44,Mercedes,F1 W11,Mercedes V6 t h,Pirelli,2,1,
264,2020,Turkey,Mercedes AMG Petronas F1 Team,44,Mercedes,F1 W11,Mercedes V6 t h,Pirelli,6,1,
265,2020,Bahrain,Mercedes AMG Petronas F1 Team,44,Mercedes,F1 W11,Mercedes V6 t h,Pirelli,1,1,
266,2020,Abu Dhabi,Mercedes AMG Petronas F1 Team,44,Mercedes,F1 W11,Mercedes V6 t h,Pirelli,3,3,
267,2021,Bahrain,Mercedes AMG Petronas F1 Team,44,Mercedes,F1 W12,Mercedes V6 t h,Pirelli,2,1,
268,2021,Emilia-Romagna,Mercedes AMG Petronas F1 Team,44,Mercedes,F1 W12,Mercedes V6 t h,Pirelli,1,2,
269,2021,Portugal,Mercedes AMG Petronas F1 Team,44,Mercedes,F1 W12,Mercedes V6 t h,Pirelli,2,1,
270,2021,Spain,Mercedes AMG Petronas F1 Team,44,Mercedes,F1 W12,Mercedes V6 t h,Pirelli,1,1,
271,2021,Monaco,Mercedes AMG Petronas F1 Team,44,Mercedes,F1 W12,Mercedes V6 t h,Pirelli,7,7,
272,2021,Azerbaijan,Mercedes AMG Petronas F1 Team,44,Mercedes,F1 W12,Mercedes V6 t h,Pirelli,2,15,
273,2021,France,Mercedes AMG Petronas F1 Team,44,Mercedes,F1 W12,Mercedes V6 t h,Pirelli,2,2,
274,2021,Styria,Mercedes AMG Petronas F1 Team,44,Mercedes,F1 W12,Mercedes V6 t h,Pirelli,2,2,
275,2021,Austria,Mercedes AMG Petronas F1 Team,44,Mercedes,F1 W12,Mercedes V6 t h,Pirelli,4,4,
276,2021,Britain,Mercedes AMG Petronas F1 Team,44,Mercedes,F1 W12,Mercedes V6 t h,Pirelli,2,1,
277,2021,Hungary,Mercedes AMG Petronas F1 Team,44,Mercedes,F1 W12,Mercedes V6 t h,Pirelli,1,2,
278,2021,Belgium,Mercedes AMG Petronas F1 Team,44,Mercedes,F1 W12,Mercedes V6 t h,Pirelli,3,3,
279,2021,Netherlands,Mercedes AMG Petronas F1 Team,44,Mercedes,F1 W12,Mercedes V6 t h,Pirelli,2,2,
280,2021,Italy,Mercedes AMG Petronas F1 Team,44,Mercedes,F1 W12,Mercedes V6 t h,Pirelli,4,ab,Collision
281,2021,Russia,Mercedes AMG Petronas F1 Team,44,Mercedes,F1 W12,Mercedes V6 t h,Pirelli,4,1,
282,2021,Turkey,Mercedes AMG Petronas F1 Team,44,Mercedes,F1 W12,Mercedes V6 t h,Pirelli,11,5,
283,2021,USA,Mercedes AMG Petronas F1 Team,44,Mercedes,F1 W12,Mercedes V6 t h,Pirelli,2,2,
284,2021,Mexico City,Mercedes AMG Petronas F1 Team,44,Mercedes,F1 W12,Mercedes V6 t h,Pirelli,2,2,
285,2021,São Paulo,Mercedes AMG Petronas F1 Team,44,Mercedes,F1 W12,Mercedes V6 t h,Pirelli,10,1,
286,2021,Qatar,Mercedes AMG Petronas F1 Team,44,Mercedes,F1 W12,Mercedes V6 t h,Pirelli,1,1,
287,2021,Saudi Arabia,Mercedes AMG Petronas F1 Team,44,Mercedes,F1 W12,Mercedes V6 t h,Pirelli,1,1,
288,2021,Abu Dhabi,Mercedes AMG Petronas F1 Team,44,Mercedes,F1 W12,Mercedes V6 t h,Pirelli,2,2,
289,2022,Bahrain,Mercedes AMG Petronas F1 Team,44,Mercedes,F1 W13,Mercedes V6 t h,Pirelli,5,3,
290,2022,Saudi Arabia,Mercedes AMG Petronas F1 Team,44,Mercedes,F1 W13,Mercedes V6 t h,Pirelli,15,10,
291,2022,Australia,Mercedes AMG Petronas F1 Team,44,Mercedes,F1 W13,Mercedes V6 t h,Pirelli,5,4,
292,2022,Emilia-Romagna,Mercedes AMG Petronas F1 Team,44,Mercedes,F1 W13,Mercedes V6 t h,Pirelli,14,13,
293,2022,Miami,Mercedes AMG Petronas F1 Team,44,Mercedes,F1 W13,Mercedes V6 t h,Pirelli,6,6,
294,2022,Spain,Mercedes AMG Petronas F1 Team,44,Mercedes,F1 W13,Mercedes V6 t h,Pirelli,6,5,
295,2022,Monaco,Mercedes AMG Petronas F1 Team,44,Mercedes,F1 W13,Mercedes V6 t h,Pirelli,8,8,
296,2022,Azerbaijan,Mercedes AMG Petronas F1 Team,44,Mercedes,F1 W13,Mercedes V6 t h,Pirelli,7,4,
297,2022,Canada,Mercedes AMG Petronas F1 Team,44,Mercedes,F1 W13,Mercedes V6 t h,Pirelli,4,3,
298,2022,Britain,Mercedes AMG Petronas F1 Team,44,Mercedes,F1 W13,Mercedes V6 t h,Pirelli,5,3,
299,2022,Austria,Mercedes AMG Petronas F1 Team,44,Mercedes,F1 W13,Mercedes V6 t h,Pirelli,8,3,
300,2022,France,Mercedes AMG Petronas F1 Team,44,Mercedes,F1 W13,Mercedes V6 t h,Pirelli,4,2,
301,2022,Hungary,Mercedes AMG Petronas F1 Team,44,Mercedes,F1 W13,Mercedes V6 t h,Pirelli,7,2,
302,2022,Belgium,Mercedes AMG Petronas F1 Team,44,Mercedes,F1 W13,Mercedes V6 t h,Pirelli,4,ab,Collision
303,2022,Netherlands,Mercedes AMG Petronas F1 Team,44,Mercedes,F1 W13,Mercedes V6 t h,Pirelli,4,4,
304,2022,Italy,Mercedes AMG Petronas F1 Team,44,Mercedes,F1 W13,Mercedes V6 t h,Pirelli,19,5,
305,2022,Singapore,Mercedes AMG Petronas F1 Team,44,Mercedes,F1 W13,Mercedes V6 t h,Pirelli,3,9,
306,2022,Japan,Mercedes AMG Petronas F1 Team,44,Mercedes,F1 W13,Mercedes V6 t h,Pirelli,6,5,
307,2022,USA,Mercedes AMG Petronas F1 Team,44,Mercedes,F1 W13,Mercedes V6 t h,Pirelli,3,2,
308,2022,Mexico City,Mercedes AMG Petronas F1 Team,44,Mercedes,F1 W13,Mercedes V6 t h,Pirelli,3,2,
309,2022,São Paulo,Mercedes AMG Petronas F1 Team,44,Mercedes,F1 W13,Mercedes V6 t h,Pirelli,2,2,
310,2022,Abu Dhabi,Mercedes AMG Petronas F1 Team,44,Mercedes,F1 W13,Mercedes V6 t h,Pirelli,5,18,Hydraulics
311,2023,Bahrain,Mercedes AMG Petronas F1 Team,44,Mercedes,F1 W14,Mercedes V6 t h,Pirelli,7,5,
312,2023,Saudi Arabia,Mercedes AMG Petronas F1 Team,44,Mercedes,F1 W14,Mercedes V6 t h,Pirelli,7,5,
313,2023,Australia,Mercedes AMG Petronas F1 Team,44,Mercedes,F1 W14,Mercedes V6 t h,Pirelli,3,2,
314,2023,Azerbaijan,Mercedes AMG Petronas F1 Team,44,Mercedes,F1 W14,Mercedes V6 t h,Pirelli,5,6,
315,2023,Miami,Mercedes AMG Petronas F1 Team,44,Mercedes,F1 W14,Mercedes V6 t h,Pirelli,13,6,
316,2023,Monaco,Mercedes AMG Petronas F1 Team,44,Mercedes,F1 W14,Mercedes V6 t h,Pirelli,5,4,
317,2023,Spain,Mercedes AMG Petronas F1 Team,44,Mercedes,F1 W14,Mercedes V6 t h,Pirelli,4,2,
318,2023,Canada,Mercedes AMG Petronas F1 Team,44,Mercedes,F1 W14,Mercedes V6 t h,Pirelli,3,3,
319,2023,Austria,Mercedes AMG Petronas F1 Team,44,Mercedes,F1 W14,Mercedes V6 t h,Pirelli,5,8,10s penalty
320,2023,Britain,Mercedes AMG Petronas F1 Team,44,Mercedes,F1 W14,Mercedes V6 t h,Pirelli,7,3,
321,2023,Hungary,Mercedes AMG Petronas F1 Team,44,Mercedes,F1 W14,Mercedes V6 t h,Pirelli,1,4,
322,2023,Belgium,Mercedes AMG Petronas F1 Team,44,Mercedes,F1 W14,Mercedes V6 t h,Pirelli,3,4,
323,2023,Netherlands,Mercedes AMG Petronas F1 Team,44,Mercedes,F1 W14,Mercedes V6 t h,Pirelli,13,6,
324,2023,Italy,Mercedes AMG Petronas F1 Team,44,Mercedes,F1 W14,Mercedes V6 t h,Pirelli,8,6,5s penalty
325,2023,Singapore,Mercedes AMG Petronas F1 Team,44,Mercedes,F1 W14,Mercedes V6 t h,Pirelli,5,3,
326,2023,Japan,Mercedes AMG Petronas F1 Team,44,Mercedes,F1 W14,Mercedes V6 t h,Pirelli,7,5,
327,2023,Qatar,Mercedes AMG Petronas F1 Team,44,Mercedes,F1 W14,Mercedes V6 t h,Pirelli,3,ab,Collision
328,2023,USA,Mercedes AMG Petronas F1 Team,44,Mercedes,F1 W14,Mercedes V6 t h,Pirelli,3,dsq,Rear skid thickness below minimum threshold
329,2023,Mexico City,Mercedes AMG Petronas F1 Team,44,Mercedes,F1 W14,Mercedes V6 t h,Pirelli,6,2,
330,2023,São Paulo,Mercedes AMG Petronas F1 Team,44,Mercedes,F1 W14,Mercedes V6 t h,Pirelli,5,8,
331,2023,Las Vegas,Mercedes AMG Petronas F1 Team,44,Mercedes,F1 W14,Mercedes V6 t h,Pirelli,10,7,
332,2023,Abu Dhabi,Mercedes AMG Petronas F1 Team,44,Mercedes,F1 W14,Mercedes V6 t h,Pirelli,11,9,
333,2024,Bahrain,Mercedes AMG Petronas F1 Team,44,Mercedes,F1 W15,Mercedes V6 t h,Pirelli,9,7,
334,2024,Saudi Arabia,Mercedes AMG Petronas F1 Team,44,Mercedes,F1 W15,Mercedes V6 t h,Pirelli,8,9,
335,2024,Australia,Mercedes AMG Petronas F1 Team,44,Mercedes,F1 W15,Mercedes V6 t h,Pirelli,11,ab,Engine
